NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales;
Círculo de Obreros Católicos;1877;Acción católica •.................;PALMA;BALEARES;320;;6;54;380;
La Igualdad (zapateros);1892;Mejorar las condiciones del trabajo.;ldem;BALEARES;15;;;;15;
El Desarrollo del Arte (carpinteros y similares);1892;Idem;ldem;BALEARES;160;;;;160;
Unión Tipográfica Balear;1897;ldem·.................•........;ldem;BALEARES;55;;;;55;
Sociedad de Operarios de Albañilería;1898;Idem ...••....................;ldem;BALEARES;30;;9;;39;
La Prosperidad (oficiales barberos);1899;ldem ..........•. ~;. ldem;BALEARES;30;;;;30;
Unión de Curtidores..•..........................;1900;ldem .......••.•..............;ldem;BALEARES;25;;;;25;
Unión de Aserradores.....•.....................;1901;Idem ........•.................;ldem .•.........;BALEARES;70;;;;70;
La Cordelera (cordeleros y similares);1901;ldem;. ldem ·;BALEARES;72;12;;;84;
La Razón (obreros tintoreros);1902;ldem .';"'"" ldem ...•.......";BALEARES;6;;;;6;
La Metalúrgica (obreros en hierro y similares) •..•;1902;ldem .........................•;Idem ..••.......;BALEARES;160;;;;160;
El primero de Mayo (obreros panaderos);1902;ldem ........................•;ldem ..........•;BALEARES;150;;;;150;
Arte y Unión. (escultores) ....••................•..;1902;ldem;. Idem;BALEARES;43;;;;43;
La Marítima Terrestre (cargadores, descargadores y estivadores del puerto y muelle);1902;ldem;. ldem ..•........;BALEARES;315;;;;315;
La Flor del Cacao (oficiales chocolateros)~;1903;ldem;. ldem ....•.....;BALEARES;18;;;;18;
La Verdad (obreros albañiles) ...•..•........•...;1903;ldem;. ldem: .•.•.....;BALEARES;55;;;;55;
Federación de' Sociedades obreras de las Baleares ....;1895;ldem;Idem;BALEARES;;;;;0;
Montepio de la Federación de Sociedades obreras •.;1903;Socorro mutuo ..•....•........,;. ldem ........•..;BALEARES;70;;;;70;
Circulo Socialista. • .....••....................••;1897;Política del partido;. ldem;BALEARES;456;;;;456;
Orfeó Mallorqui. ....•......•........•..• ~ .....•.;1899;Coral ....•..........•...........;Idem ..••...•..•;BALEARES;40;63;8;120;231;
Sociedad obrera.....• , ..............•..•....•..;1903;Mejorar las condiciones del trabajo.;La Vileta(PALMA);BALEARES;30;;;;30;
La Maritima Terrestre Ibicenca (obreros del puerto y muelle);1903;Mejorar las condiciones del trabajo.;IBIZA;BALEARES;270;;1;47;318;
La Justicia (obreros zapateros) .............. , ... ,;1903;Idem .................•........;Inca..............;BALEARES;50;;;;50;
Sociedad de Obreros Carpinteros.................;1904;Idem .....•..... , ..............;Mahon;BALEARES;45;;;;45;
Humanidad . ...................................;1900;Socorro mutuo ...................;ldem ...•.......;BALEARES;145;;;;145;
Sección de Oficios varios........... '..............;1904;Mejorar las condiciones del trabajo.;San Luis (Mahon).;BALEARES;25;;;;25;
Centro de Albañiles .............................;1900;Idem ..........•...............;Manacor;BALEARES;20;;;;20;
La Economía . ............................ : .....;1900;Cooperativa de consumo ..........;Idem;BALEARES;252;;;;252;
Agrupación Socialista...........................;1890;Política del partido..... ~ ......•..;Idem;BALEARES;40;;;;40;
"Centro Agrícola (obreros del campo) ... """;1902;Mejorar las condiciones del trabajo.;Ciudadela .... ....;BALEARES;260;;1;;261;
La Obrera.. .....•..............................;1899;Idem ........•.................;Idem;BALEARES;864;;;;864;
La Alborada;1903;Coral. ....•......................;ldem ....... ...;BALEARES;65;;;100;165;
Centro de Albañiles .............................;1901;Mejorar las condiciones del trabajo.;Felanitx ..........;BALEARES;50;;;;50;
La Recompensa del Trabajo;1901;Idem ....•......................;Llummayor...•...;BALEARES;154;;;;154;
La Unión de Canteros .....•...............•.....;1901;ldem ...•.................•....;ldem ...........;BALEARES;51;;;;51;
Centro de Albañiles ........................•..;1903;Idem ...•.....................• -;ldem ............;BALEARES;42;;;;42;
La Igualdad (obreros constructores de calzado);1901;ldem ...•......................;Marratxi;BALEARES;28;;;;28;
La Siega;1902;Idem .•.•......................;ldem ...........;BALEARES;91;;;;91;
"Unión Obrera..... , ....... """;1900;Socorro mutuo ...•..•. '........•..;Montuiri;BALEARES;39;9;;;48;
El Porvenir del Obrero..........................;1904;Mejorar las condicionesdel trabajo.;Pollensa ...........;BALEARES;51;;;;51;
Centro Obrero de Albañiles ......................;1902;Idem ;Idem;BALEARES;37;;;;37;
Círculo de la Unión Obrera... , ............ , '.' ...;1900;Idem ;Santa Eugenia ....;BALEARES;51;;;;51;
El P1'imer Paso (obreros zapateros) ..;1901;Idem ;Villa Carlos ... ....;BALEARES;73;;;;73;
