NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales;Observaciones
La Amistad (oficiales toneleros).. •.. ... . .. .. . . . ..;1899;Mejorar las condiciones del trabajo.;Cordova;CÓRDOVA;30;;;;30;
Asociacion de. Carpinteros.. . . . . . . . . . . . . . . . . . . . . ..;1900;Idem;Idem;CÓRDOVA;125;;;;125;
Gremio de Pintores y Decoradores.. . . . . . . . . . . . . ..;1900;Idem;Idem;CÓRDOVA;43;;;;43;
Sociedad de' Albañiles. . . . . . . . . . . . . . . . . . . . . . . . . . .;1900;Idem;Idem;CÓRDOVA;520;;;;520;
Sociedad de Conductores de carruajes.... . . . . .. . ..-;1901;Idem;Idem;CÓRDOVA;48;;;;48;
La Cordobesa (oficiales barberos);1902;Idem;Idem;CÓRDOVA;55;;;;55;
Sociedad de Peones albañiles... '. . . . . . . . . . . . . . . . ..;1904;Idem;Idem;CÓRDOVA;201;;;;201;
Sociedad de Socorros mutuos de Orífices y Plateros..........;1868;Socorro mutuo;Idem;CÓRDOVA;147;;;;147;
Amigos del Trabajo. . . . . . . . . . . . . . . . . . . . . . . . . . . . .;1901;Cooperativa de producción agrícola;Cabra;CÓRDOVA;168;;;;168;
Círculo Católico de Obreros. . . . . . . . . . . . . . . . . . . . . .;1877;Acción católica;Lucena;CÓRDOVA;425;;4;26;455;
Liga Obrera.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .;1904;Mejorar las condiciones del trabajo.;Idem;CÓRDOVA;420;;;;420;
Sociedad de Obreros curtidores. . . . ..;1900;-Idem;Montilla;CÓRDOVA;18;;;;18;
Sociedad colectiva de Socorro mutuo.;1894;Cooperativa de crédito.......•....;Idem;CÓRDOVA;244;;;;244;
Asociación de Dependientes de Comercio.;1904;Mejorar las condiciones del trabajo.;Pozoblanco;CÓRDOVA;3;9;4;;16;
Cooperativa de Obreros.. ..... . . . . . . . . . . . . . . . . . . .;1900;Cooperativa de producción agricola ....;La Rambla;CÓRDOVA;78;;;;78;Cultivo de la vid.
Círculo Obrero de Instrucción.. .. . . . . . . . . . . . . . . . .;1903;Instrucción;Belalcazar;CÓRDOVA;1002;;;;1002;Tiene organizada una escuela para adultos
Sociedad de Obreros agricultores. . . . . . . . . . . . . . . ..;1901;Mejorar las condiciones del trabajo.;Espejo;CÓRDOVA;42;;;;42;
Centro Obrero de Artesanos '. . . . . . . . ..;1903;Idem;Idem;CÓRDOVA;85;;;;85;
Sociedad de Agricultores, Artes y Oficios.. . . . . . . .;1902;Idem;Iznajar;CÓRDOVA;80;;;;80;
Centro de Obreros;1903;Idem;La VIctoria;CÓRDOVA;105;;10;;115;
La Ilustración Obrera. . . . . . . . . . . . . . . . . . . . . . . . . . .;1903;Idem;Montemayor;CÓRDOVA;82;;;;82;
La Reformadora . ...............................;1902;Cooperativa de producción agrícola;Idem;CÓRDOVA;222;;;;222;
Sociedad Obrera de Agricultores.................;1903;Mejorar las condiciones del trabajo.;Nueva Carteya....;CÓRDOVA;408;40;11;;459;
Sociedad de Obreros albañiles. . .................;1903;Idem;Palma del Río . ...;CÓRDOVA;57;;;;57;
Sociedad de Carpinteros....... , .................;1903;Idem;Idem;CÓRDOVA;38;;;;38;
Círculo Católico de Obreros y Patronos............;1903;Acción católica...................;Puente Genil......;CÓRDOVA;308;;380;112;800;
