NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales;Observaciones
Círculo Católico de Obreros;1894;Acción católica.. . . . . . . . . . . . . . . . . .;Gerona;GERONA;74;1;13;103;191;
L'Ascarpa (obreros al baliiles);1899;Mejorar las condiciones del trabajo.;Idem;GERONA;108;;;;108;
"La Eurriola (peones de albañil) """;1900;Idem;Idem;GERONA;160;;;;160;
El Compás (obreros carpinteros y ebanistas).,;1900;Idem;Idem;GERONA;104;;;;104;
La Dependencia Mercantil.;1904;Idem;Idem;GERONA;92;;;;92;
Sociedad de Socorros mutuos de 0breros de San Eloy;1868;Socorro mutuo;Idem;GERONA;30;;;;30;
La Regional;1887;"Coral. "" .. '""";Idem;GERONA;20;;;15;35;
Unión y Concordia ,;1903;Idem oo .;Idem;GERONA;26;;;12;38;
"La Paleta (obreros albañiles). '""";1895;Mejorar las condiciones del trabajo.;Figueras;GERONA;40;;;;40;
"La Moderna (obreros carpinteros). """;1899;Idem;Idem;GERONA;32;;;;32;
La Espátula (obreros fundidores en hierro y metales).. ...;1900;Idem...........................;Idem;GERONA;6;;;;6;
La Gaceta (peones de albañil);1900;Idem...........................;Idem;GERONA;11;;;;11;
La Obrera. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .;1888;Socorro mutuo........ .;Idem;GERONA;103;;;;103;
La Estrella Ollaire (obreros alfareros).;1902;Mejorar las condiciones del trabajo.;La Bisbal;GERONA;9;;;;9;
La Lira Bisbalense;1882;Coral;Idem;GERONA;35;;;8;43;
"La Unión Curtidora Olotense '"" . . . . . . . . ..";1902;Mejorar las condiciones del trabajo.;Olot;GERONA;35;;;;35;
Centro Obrero o. . . . . . . . . . . . . . ..;1894;Idem;Idem;GERONA;650;;;;650;
Ateneo Obrero. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ..;1903;Instrucción. . . . . . . . . . . . . . . . . . . . . .;Idem;GERONA;400;;;;400;
La Económica . ... . . . . . . . . . . . . . . . . . ..;1889;Cooperativa de crédito y de consumo;Agullana;GERONA;202;;;;202;
Montepio de Nnestra Seflora de los Dolores;1901;Socorro mutuo....................;Anglés............;GERONA;521;;;2;523;
La Cigala Bagurenca.. . . . . . . . . . . . . . . . . . . . . . . . . . .;1900;Coral ............................;Bagur ............;GERONA;43;;3;130;176;
El Progreso Papelero (obreros papeleros);1896;Mejorar las condiciones del trabajo.;Bañolas...........;GERONA;90;;;;90;
El Progreso Albañil;1900;Idem...........................;ldem. ..................;GERONA;38;;;;38;
La Sierra de Bañolas (obreros carpinteros). . . . . ..;1900;ldem...........................;ldem. ...................;GERONA;8;;;;8;
El Alba Bescanonense.. . . . . . . . . . . . . . . . . . . . . . . . . ..;1903;"Coral ............... "" ...........";Bescanó . .........;GERONA;24;;;7;31;
La Cotorra (obreros alpargateros). . . . . . . . . . . . . . ..;1900;Mejorar las condiciones del trabajo.;Blanes .. ..........;GERONA;140;;;;140;
La Obrera Albañil.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . .;1900;ldem...........................;Idem;GERONA;27;;;;27;
Germinal. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .;1903;Idem;ldem. .............;GERONA;89;;;;89;
Orfeó de BIanes.;1902;Coral. ...........................;Idem;GERONA;49;;4;182;235;
Sociedad do Obreros albañiles.. . . . . .. . . . . .;1903;Mejorar las condiciones del trabajo;Calonge. .................;GERONA;14;;;;14;
"La Amistad Calongense , '""";1902;Coral;ldem. .............. oO ••;GERONA;27;;2;70;99;
Qentro Obrero.. . . . . . . . . . .. . . . . . . . . . . . . . . . . . . . . ..;1901;Instrucclon......................;Sant Antonio (Calonge);GERONA;150;;;;150;
Sodedad Obrera Camprodonense;?;Socorro mutuo....................;Camprodón .......;GERONA;166;;;;166;
La Filantrópica .. . .•. ..... , . .... . . . . . . .;1904;Idem ..........................;Campdevánol. ........;GERONA;26;;;;26;
El Parral del Pirineo. . . . . . . . . . . . . . . . . . . . . . . . . ..;1904;Coral ............................;Capmany.........;GERONA;24;;;4;28;
El Ribot (obreros carpinteros).. . . . . . . . . . .. .... . ..;1900;Mejorar las condiciones de trabajo.;Cassá de la Selva..;GERONA;7;;;;7;
La Fraternal Cassanense. . . . . . . . . . . . . . . .. . . . . . ..;1900;Socorro mutuo....................;Idem;GERONA;735;;;;735;
La Tenora......................................;1903;"Coral. '"" ........................";ldem. ............... oO.;GERONA;400;;;;400;
Sociedad de Obreros albañiles... . . . . . . . . . . . . . . . ..;1904;Mejorar las condiciones de trabajo.;Castellfullit de la Roca............;GERONA;24;;;;24;
Montepío Obrero de San Salvador.. . . . . . . . .•. . . . . .;1902;Socorro mutuo....................;ldem. .... ·.oO ... • ....;GERONA;312;;;3;315;
Cooperativa de San Antonío de Caballera. . . . . . . ..;1896;Cooperativa de consumo ..........;Freixanet .........;GERONA;22;;;;22;
La Sudaria (obreros albañiles).. . . . . . . . . . . . .. . . . .;1902;Mejorar las condiciones de trabajo.;Hostalrich;GERONA;16;;;;16;
La Camelia;1898;Socorro mutuo.................... ;La Bajol ..........;GERONA;48;;;;48;
La Pirenaica Oriental (obreros agricultores)...;1900;Mejorar las condiciones del trabajo;La Junquera;GERONA;11;;;;11;
El Antiguo Eco del Pirineo;1864;Coral. . . . . . . . . . . . . . . . . . . . . . . . . . ..;La Junquera .;GERONA;200;;;;200;
El Eco del Pirineo;1864;ldem...........................;Idem .;GERONA;25;;8;11;44;
Hermandad de Obreros de San Cristobal;1892;Socorro mutuo... . . . . . . . . . . . . . . . ..;Las Planas .;GERONA;56;;;;56;
El Progreso Albañil;1902;Mejorar las condiciones del trabajo.;-Llagostera .;GERONA;15;;;;15;
La Unión (peones de albañil);1903;Idem;ldem .;GERONA;12;;;;12;
La Unión;1890;Socorro mutuo;Llanás .;GERONA;60;;;;60;
Armonía Llorefenca;1903;"Coral ..... '"" '"" . . .. . . . .. .. . . . . ..";Lloret de Mar .;GERONA;40;;2;88;130;
La Casa del Pueblo;1904;"Cooperativa de crédito y de consumo "". .";Massanet de Cabrenys;GERONA;60;;;;60;
Eco de la Frontera;1889;Coral. .;Idem .;GERONA;30;;;8;38;
Sociedad de Areros;1900;Mejorar las condiciones del trabajo.;Osor .;GERONA;20;;;;20;
Sociedad de Obreros carpinteros;1899;Idem .;Palafrugell .;GERONA;22;;;;22;
La Unionista (obreros panaderos);1900;Idem .;"ldem """;GERONA;12;;;;12;
La Económica Palafrugellense;1865;Cooperativa de consumo .;Idem;GERONA;925;;;;925;
"Centro Obrero """;1887;Instrucción .;Idem;GERONA;315;;;;315;
"Centro Instructivo y de Unión obrera.......• """;1903;Idem .;ldem .;GERONA;192;;;;192;
La Protectora de los Obreros;1901;Socorro mutuo .;Palau-Sabardera..;GERONA;77;;;;77;
La Previsora;1902;ldem .;Port-Bou .;GERONA;15;;;;15;
La Bienhechora de los Obreros;1872;Idem , .;Rosas .;GERONA;145;;;;145;
San Sebastián;1900;Idem .;"Idem"". .";GERONA;94;;;;94;
La Humanitaria de Obreros;1901;Idem;Idem .;GERONA;78;;;;78;
La Guixolense;1898;Cooperativa de consumo y de crédito .;San Feliu de Guixols;GERONA;612;;;;612;
La Unión;1899;Cooperativa de consumo ~ .;ldem .;GERONA;392;;;;392;
La Terrestre Reformada;1904;Socorro mutuo .;Idem .;GERONA;495;;;;495;
Centro Instructivo Obrero;1904;Instruccion;San Feliu de Guixols;GERONA;200;;;;200;Tiene organizada una escuela nocturna
Orfeón Gesoria;1903;Coral. . . . . . . . . . . . . . . . . . . . . . . . . .;Idem;GERONA;?;?;?;?;?;
Centro Católico de Obreros;1888;Acción católica;San Juan de las Abadesas;GERONA;190;;;10;200;
The Star;1904;Cooperativa de consumo .... , . ... .;Idem .... , ..... ,;GERONA;28;;;;28;
Santa Lucía;1889;.Mejorar las condiciones del trabajo.;San Juan las Fonts;GERONA;60;;;;60;
La Artística Farnense;1903;Coral;Santa Coloma de Farnes;GERONA;32;;;226;258;
San Miguel Arcángel;1903;Socorro mutuo ,;Santa Eugenia;GERONA;39;;;;39;
La Obrera;1895;Idem ,;Santa Leocadia de Algama;GERONA;15;;;;15;
Montepío Obrero de Socorros mutuos de San Vicente;1889;Idem;Torrent;GERONA;31;;;;31;
Lo Pensament;1894;CoraL .;"Tossa """;GERONA;32;;6;27;65;
Los Ladrilleros;1904;Idem .;Vilafant;GERONA;33;;;5;38;
La Ob,.em de San Gil.;1904;Socorro mutuo .;Vilamalla;GERONA;12;;;;12;
