NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales;OBSERVACIONES;
Centro obrero;1892;Mejorar las condiciones del trabajo.;BADAJOZ;BADAJOZ;108;;;;108;Tiene una cooperativa de consumo, una Caja de socorro mutuo y una escuela para hijos de socios;
La Verdad (panaderos) ...;1901;Idem…….•..........•.•......;Idem..•.•......;BADAJOZ;62;;;;62;"Tiene una Cooperativa de producción, en la que emplea á los socios parados
";
La Unión de Sombrereros..•....•...•.........•.•;1903;Idem.•..•......•..•...•.......;"Idem..... ; .....";BADAJOZ;17;;;;17;;
Liceo de Artesanos . ....••.....•••.••'.•...•..•.•.;1851;Recreativa .•••....••.••....•.•..;Idem..••...•...;BADAJOZ;447;50;;;497;;
Recreo de Artesanos;1903;Idem.••.••.....•...........•..;Idem.....•.....;BADAJOZ;84;15;;;99;;
Emancipadora Obrera;1900;Cooperativa de consumo .;Alburquerque .;BADAJOZ;114;;;;114;;
El Obrero Extremeño;1896;Socorro mutuo.....•............•.;Almendralejo .;BADAJOZ;636;;1;;637;;
lustración y Trabajo;1903;Idem...•..................•....;Idem........•..;BADAJOZ;100;10;5;3;118;;
La Humanitaria....... ......•.•.•.••..•.......••;902;Idem.....•....................;Don Benito •.....;BADAJOZ;252;;1;;253;;
La Auxiliadora..........•••...•.•..............;1903;"Idem o"" •••••••";Idem .;BADAJOZ;37;;1;;38;;
El Porvenir Obrero. . . . . . . . .•;1903;Idem.....•...................;Idem.......•...;BADAJOZ;48;;2;;50;;
El Despertar (obreros corcho-taponeros);1901;Mejorar las condiciones del trabajo.;Jerez de los Caballeros;BADAJOZ;281;;;;281;;
Salir del sueño (albañiles);1904;".Idem.•................•.•. ,; ...";Idem.••..•.....;BADAJOZ;48;;;;48;;
La Productora .. ..•......•....•.........• '..••..;1903;Idem…..•.••........•..•.•.•..;Mérida ..;BADAJOZ;50;20;;58;128;;
La Alianza..• ....................•. ~ .•..••..••..;1904;Idem..••.....•............•...;Idem;BADAJOZ;27;;;;27;;
Círculo de Artesanos ...•...•••••.•.••..........•;1897;Recreo .••..•.•..•••.........•...;Idem........•.•;BADAJOZ;169;34;2;;205;;
Le Nueva Aurora;1901;Mejorar las condiciones del trabajo.;Olivenza ....•..•.;BADAJOZ;203;;;;203;;
Unión Social Obrera...•....•...•••••........•...;1904;Mejorar las condiciones del trabajo.;Puebla de Alcocer;BADAJOZ;206;;;;206;;
La Esperanza . ..••..•........••...' .............;1904;Socorro mutuo ....•.....••.......;Villanueva de la Serena;BADAJOZ;110;;;;110;;
La Heroína .. .••.••..... .-•.....•••..••.•.•......;1902;Mejorar las condiciones del trabajo.;Aceuchal .•......•;BADAJOZ;25;;;;25;;
El Obrero de Aceuchal . ..•.•...••....•.•.........;1901;Socorro mutuo ..•...••..••..••...;ldem...........;BADAJOZ;135;;;;135;;
La Constancia . ....•.•..•••...•.....•....•..•...;1900;Mejorar las condÍciones del trabajo.;Albuera ......•...;BADAJOZ;75;;;;75;;
El Alba del Nuevo Día.••••...•...•.....•...•.•.;1901;ldem;Alconchel.........;BADAJOZ;200;;;;200;;
Sociedad Benéfica.••.•..••.........••.....• r' •••;1901;Socorro mutuo ••....•.....•.•...•;ldem...........;BADAJOZ;180;15;;24;219;;
Amparo del Trabajador . .......•......•.•.......;1904;Cooperativa de crédito..•........•;Alconera •........;BADAJOZ;305;;;;305;;
La Fe;1904;Mejorar las condiciones del trabajo.;Aljucén..••....•..;BADAJOZ;25;4;;;29;;
El Despertar del siglo XX.. .....................;1901;ldem;Almendral.... ...•;BADAJOZ;400;;;;400;;
El Renacimiento. ..••••.•••.•....•••••..•...•.•.;1900;ldem;Barcarrota. •.••••;BADAJOZ;203;;;;203;;
El Progreso..;1902;Cooperativa de consumo ••.••.••••;Campanario•...••;BADAJOZ;372;;;;372;;
La Protectora .•....••..••.••..•....••.•...••.•.;1904;Mejorar las condiciones del trabajo.;Castilblanco ••..••;BADAJOZ;272;;;;272;;
Centro Agrícola Obrero •.•...•..••......•.....•..;1901;Cooperativa de crédito y Caja de Socorro mutuo;Fuente del Maestre;BADAJOZ;375;;;;375;;
Sociedad Obrera ••....••.••..•..•.•••••.....•.•.;1904;Recreo ..•.• '........•.•..•.......;Granja de Torre Hermosa;BADAJOZ;34;;;;34;;
La Redención del Obrero . •••••.•.•.•.........••.;1901;Mejorar las condiciones del trabajo.;Higuera de Vargas;BADAJOZ;71;;;;71;;
La Preventiva .••...•...•..•.••••••••.......•..•;1902;ldem;La Garrovilla. ...•;BADAJOZ;30;;;;30;;
El primero de Mayo ..•••.•.•..........••••........•..;1902;ldem;"La Haba ••.••. '""";BADAJOZ;204;;;;204;;
La Previsora Agrícola . .•.••.......•.....•..•.•.;1904;Cooperativa de producción y de credito;Idem;BADAJOZ;206;;;;206;;
La Unión de Trabajadores. .•.•..••.••.•.•.....•.;1902;Mejorar las condiciones del trabajo.;La Lapa ..•......;BADAJOZ;25;;;;25;;
Circulo de la Unión Obrera ......................;1902;ldem;Lobón...........•;BADAJOZ;202;;;;202;;
La Fraternidad •.•...••.......••.•••.......•.•.;1902;Cooperativo de consumo ..........;Medellin.........•;BADAJOZ;168;;;;168;;
La Fortuna ...••••............•...•.....•.••.•.;1903;Mejorar las condiciones del trabajo.;Mirandilla .•••••.;BADAJOZ;109;;;;109;;
La Defensa....... .••.................•.........;1902;Mejorar las condiciones del trabajo.;Montijo ..........;BADAJOZ;507;;;;507;;
La Palomera.;1904;Idem....... -......•...........;Palomas..........;BADAJOZ;76;22;;;98;;
La Defensa del Derecho (obreros agricultores) ;1902;Idem..........••••••••••••;Puebla .de la Calzada;BADAJOZ;380;;;;380;;
La Lealtad ...•.................................;1903;Cooperativa de crédito............;San Pedro de Mérida;BADAJOZ;37;;;;37;;
"La Documentaria Obrera. .....•... ; .............";1902;Mejorar las condiciones del trabajo.;Talavera la Real ..;BADAJOZ;159;;;;159;;
La Luz del Nuevo Día;1901;Idem.................. ,. ' .. ..;Táliga ...........;BADAJOZ;75;;;;75;;
Luz de los Obreros .........................;1902;Idem.......... ...............;Torre de Miguel Sesmero;BADAJOZ;450;;;;450;;
La Lealtad del Obrero.. .........................;1902;Idem..........................;Torremayor .. .....;BADAJOZ;30;;;;30;;
La Esperanza ......;1903;Idem................. .- ......;Trujillanos . ... _..;BADAJOZ;55;;;;55;;
El Fomento;1902;Socorro mutuo....................;Valverde de Mérida;BADAJOZ;252;;;;252;;
El Progreso ...................................;1902;Cooperativa de crédito............;Villagonzalo . .....;BADAJOZ;200;;;;200;;
La Esperanza del Obrero . .......••••••••••;1901;Socorro mutuo........•...........;Villanueva del Fresno;BADAJOZ;22;;;;22;;
Círculo Católico Obrero..........................;1902;Acción católica..................•;Villar de Rena . ...;BADAJOZ;43;;2;;45;;
