NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Circulo de Obreros;1896;Acción católica., .................;SALAMANCA....;SALAMANCA;853;;3;32;888
 El Progreso (trabajadores en hierro, metales similares)..........................•..........;1898;Mejorar las condiciones del trabajo.;Idem;SALAMANCA;127;;;;127
La Unión (canteros);1899;Idem;Idem;SALAMANCA;100;;;;100
Sociedad de Zapateros;1899;Idem;Idem;SALAMANCA;15;;;;15
Sociedad de Carpinteros;1899;Idem;Idem;SALAMANCA;224;;;;224
Sociedad de Albañiles;1900;Idem;Idem;SALAMANCA;140;;;;140
Sociedad de Pintores;1900;Idem;Idem;SALAMANCA;60;;;;60
Sociedad de resistencia de Obreros peones;1900;Idem;Idem;SALAMANCA;327;;;;327
Asociación de Ebanistas y oficios similares;1900;Idem;Idem;SALAMANCA;50;;;;50
Sociedad de Oficios varios;1901;Idem;Idem;SALAMANCA;43;;;;43
Sociedad de Obreros constructores de -carruajes y oficios similares;1902;Idem;Idem;SALAMANCA;23;;;;23
So.ciedad de Curtidores;1903;Idem;Idem;SALAMANCA;130;;;;130
Sociedad de Carreros;1903;Idem;Idem;SALAMANCA;14;;;;14
Sociedad de Tipógrafos;1904;Idem;Idem;SALAMANCA;20;;;;20
La Fe;1904;Idem;Idem;SALAMANCA;40;;;;40
Federación Obrera;1900;Idem;Idem;SALAMANCA;1000;;;;1000
Agrupación Socialista;1902;Política de partido................;Idem;SALAMANCA;16;;;;16
Unión protectora de Tejedores;1869;Mejorar las condiciones del trabajo.;Béjar.............;SALAMANCA;401;;;;401
Unión protectora de Bataneros;1901;Idem;Idem;SALAMANCA;34;;;;34
Sociedad de Apartadores;1903;Idem;Idem;SALAMANCA;38;;;;38
Sociedad de Tundidores;1903;Idem;Idem;SALAMANCA;40;;;;40
Sociedad de Curtidores ..........................;1904;Mejorar las condiciones del trabajo.;Bejar;SALAMANCA;22;;;;22
Sociedad de Dependientes de Comercio............;1904;Idem;Idem;SALAMANCA;32;;;;32
.Sociedad de Obreros peones....................;1904;Idem;Ciudad-Rodrigo;SALAMANCA;87;;;;87
. Obreros Albaniles........;1904;Idem;Idem;SALAMANCA;40;;;;40
Sociedad Obrera de Socorros mutuos............. ;1904;Socorro mutuo....................;Boada;SALAMANCA;45;;;;45
Sociedad Obrera de Socorros mutuos..............;1894;Idem;La Fuente de San Esteban;SALAMANCA;79;;;;79
 Agrupacion de Trabajadores............ , ...•....;1900;Mejorar las condiciones del trabajo.;Villaviejo;SALAMANCA;82;;;;82
SocIedad de Socorros mutuos.......•....... , .....;1885;Socorro mutuo...............••••;Idem;SALAMANCA;313;;;;313
